"ID";"global_id";"AdmArea";"District";"Address";"RegionOfFair";"PeriodOfPlacement";"Goods";"geoData";
"28";"1006074182";"Восточный административный округ";"район Новогиреево";"город Москва, Зелёный проспект, дом 81";"Республика Марий Эл";"11.09.2019-17.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.819555420158196, 55.751808551299625]}";
"28";"1006074183";"Восточный административный округ";"район Новогиреево";"город Москва, Зелёный проспект, дом 81";"Тамбовская область";"01.09.2019-07.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.819555420158196, 55.751808551299625]}";
"112";"1006074184";"Юго-Восточный административный округ";"район Люблино";"город Москва, Краснодарская улица, дом 57, корпус 1";"Волгоградская область";"21.09.2019-28.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.766164, 55.676494]}";
"35";"1006074185";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Липецкая область";"01.09.2019-07.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"29";"1006074186";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Тамбовская область";"11.09.2019-17.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"28";"1006074187";"Восточный административный округ";"район Новогиреево";"город Москва, Зелёный проспект, дом 81";"Ивановская область";"21.09.2019-27.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.819555420158196, 55.751808551299625]}";
"39";"1006074188";"Зеленоградский административный округ";"район Старое Крюково";"город Москва, город Зеленоград, Крюковская площадь, дом 1";"Рязанская область";"01.09.2019-07.09.2019";"сельскохозяйственная продукция, продовольственная продукция, промышленные товары.";"{type=Point, coordinates=[37.174850913799325, 55.98012131195869]}";
"39";"1006074189";"Зеленоградский административный округ";"район Старое Крюково";"город Москва, город Зеленоград, Крюковская площадь, дом 1";"Пензенская область";"11.09.2019-17.09.2019";"сельскохозяйственная продукция, продовольственная продукция, промышленные товары.";"{type=Point, coordinates=[37.174850913799325, 55.98012131195869]}";
"39";"1006074190";"Зеленоградский административный округ";"район Старое Крюково";"город Москва, город Зеленоград, Крюковская площадь, дом 1";"Волгоградская область";"21.09.2019-27.09.2019";"сельскохозяйственная продукция, продовольственная продукция, промышленные товары.";"{type=Point, coordinates=[37.174850913799325, 55.98012131195869]}";
"34";"1006074191";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Нижегородская область";"01.09.2019-07.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"29";"1006074192";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Калужская область";"01.09.2019-07.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"228";"1006074193";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Республика Беларусь";"21.09.2019-27.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"34";"1006074194";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Ярославская область";"21.09.2019-27.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"28";"1006074195";"Восточный административный округ";"район Новогиреево";"город Москва, Зелёный проспект, дом 81";"Чувашская Республика";"11.09.2019-17.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.819555420158196, 55.751808551299625]}";
"29";"1006074196";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Вологодская область";"01.09.2019-07.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"35";"1006074197";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Ивановская область";"11.09.2019-17.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"115";"1006074198";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Рязанская область";"01.09.2019-07.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
